"comm","param","n_sp_pruned","n_sp_pool","mean_comp_strength_pool","mean_comp_strength","Omega_pool","omega_pool","Omega_obs","omega_obs","Omega_percentile","omega_percentile","Omega_expect_comm","omega_expect_comm","comp_strength_expect"
1,0.2,13,20,0.0424516363368907,0.0273710025611723,8.78064743782334e-05,0.626868326491895,0.0691376797405357,0.814230361079605,0.644,0.644,0.0669211279508523,0.811811183400426,0.0280110892390337
1,0.2,15,20,0.0424516363368907,0.0241166667752811,8.78064743782334e-05,0.626868326491895,0.043048819101287,0.810831756237128,1,1,0.03227989848994,0.795162376124037,0.0266340893847741
1,0.2,13,20,0.0424516363368907,0.025475861012788,8.78064743782334e-05,0.626868326491895,0.0830339319145937,0.825782767347996,0.958,0.958,0.0674342062828174,0.812285354571569,0.027930412727181
1,0.2,15,20,0.0424516363368907,0.0268262153586976,8.78064743782334e-05,0.626868326491895,0.0314577291369688,0.794051172276714,0.352,0.352,0.0328905914588635,0.796165784462199,0.026474022262409
1,0.2,14,20,0.0424516363368907,0.0236986189679858,8.78064743782334e-05,0.626868326491895,0.0674125560411768,0.824780962711005,0.998,0.998,0.0468935872932978,0.803372979204141,0.0272744764826426
1,0.2,11,20,0.0424516363368907,0.024903093493897,8.78064743782334e-05,0.626868326491895,0.173553821208596,0.852820542049665,0.984,0.984,0.131391863703719,0.830918298374405,0.0295800815291476
1,0.2,13,20,0.0424516363368907,0.0256422061943048,8.78064743782334e-05,0.626868326491895,0.0813427726407632,0.824476691634535,0.962,0.962,0.0665823764996479,0.811505871940965,0.0280693277731551
1,0.2,15,20,0.0424516363368907,0.0279340731762259,8.78064743782334e-05,0.626868326491895,0.0278040251429173,0.787542218732726,0.044,0.044,0.0322604950042053,0.795151766419216,0.0266375385321267
1,0.2,11,20,0.0424516363368907,0.0290806675877373,8.78064743782334e-05,0.626868326491895,0.134369169947269,0.833210074060028,0.634,0.634,0.130118915472338,0.830301330462747,0.0296971421190565
1,0.2,16,20,0.0424516363368907,0.0254271823236402,8.78064743782334e-05,0.626868326491895,0.0235257320682199,0.791081897664374,0.688,0.688,0.0226398446644577,0.788988232811844,0.0257914243271412
1,0.2,14,20,0.0424516363368907,0.0265785754105131,8.78064743782334e-05,0.626868326491895,0.0503113794846739,0.807721927985965,0.746,0.746,0.0474130708439721,0.803965109228188,0.0271701337977797
1,0.2,14,20,0.0424516363368907,0.0260806404826608,8.78064743782334e-05,0.626868326491895,0.0525055316893503,0.810188502508263,0.824,0.824,0.0473372518324286,0.80387806587945,0.0271877409305529
1,0.2,14,20,0.0424516363368907,0.0282630720546003,8.78064743782334e-05,0.626868326491895,0.0420916964799405,0.797495638229314,0.162,0.162,0.0472342230577815,0.803767495622832,0.0272052335571016
1,0.2,13,20,0.0424516363368907,0.0263451968061015,8.78064743782334e-05,0.626868326491895,0.0768688116166549,0.820896633039564,0.902,0.902,0.067337244550609,0.81222287134536,0.0279415976075582
1,0.2,13,20,0.0424516363368907,0.0244460484756625,8.78064743782334e-05,0.626868326491895,0.0912279112353685,0.831782589154289,0.992,0.992,0.0672731821776292,0.812087541680582,0.0279678323777324
1,0.2,12,20,0.0424516363368907,0.0259092237586861,8.78064743782334e-05,0.626868326491895,0.117752287348032,0.83672121252113,0.956,0.956,0.0946927947337983,0.821202182687272,0.02872942579061
1,0.2,13,20,0.0424516363368907,0.0248477494133847,8.78064743782334e-05,0.626868326491895,0.0868862093134615,0.828668508041436,0.986,0.986,0.0675635020849924,0.812378037204329,0.0279076291660207
1,0.2,13,20,0.0424516363368907,0.0289649524668437,8.78064743782334e-05,0.626868326491895,0.0605707868043043,0.805986819286473,0.18,0.18,0.0682118154164853,0.812943526241808,0.027806272515741
1,0.2,11,20,0.0424516363368907,0.0282206619624318,8.78064743782334e-05,0.626868326491895,0.141694453717303,0.837240559398304,0.756,0.756,0.131770351805987,0.831183198183441,0.0295218425155506
1,0.2,13,20,0.0424516363368907,0.0277869836393974,8.78064743782334e-05,0.626868326491895,0.0668164083791846,0.812094173130642,0.504,0.504,0.0675842035653262,0.812408580488725,0.0279032806366244
1,0.2,12,20,0.0424516363368907,0.0251839944523542,8.78064743782334e-05,0.626868326491895,0.123461912601058,0.840029265778473,0.984,0.984,0.0947764271201011,0.82128332123788,0.0287176088797892
1,0.2,15,20,0.0424516363368907,0.0264915299141318,8.78064743782334e-05,0.626868326491895,0.0328404794334907,0.796331629682613,0.542,0.542,0.0328780691309512,0.796117272177925,0.0264730592798876
1,0.2,12,20,0.0424516363368907,0.0262032491093194,8.78064743782334e-05,0.626868326491895,0.113083906858398,0.833905299272403,0.92,0.92,0.0955640002283384,0.821775693672617,0.0286140638381831
1,0.2,15,20,0.0424516363368907,0.0261498411131514,8.78064743782334e-05,0.626868326491895,0.0343157670488323,0.798667932635083,0.686,0.686,0.0326989218691049,0.795822246550555,0.0265275374778853
1,0.2,15,20,0.0424516363368907,0.0268683291136181,8.78064743782334e-05,0.626868326491895,0.0309716076083226,0.79322717323789,0.346,0.346,0.032573863635971,0.795635261227745,0.0265607284021213
1,0.2,14,20,0.0424516363368907,0.0252394212181948,8.78064743782334e-05,0.626868326491895,0.057008961127187,0.814964694361132,0.968,0.968,0.0469339136515051,0.803417739735476,0.0272668296917564
1,0.2,12,20,0.0424516363368907,0.0258165821409223,8.78064743782334e-05,0.626868326491895,0.116676914482064,0.836081751710945,0.952,0.952,0.0954626944878066,0.821728902838536,0.0286297041804942
1,0.2,13,20,0.0424516363368907,0.0269988538735805,8.78064743782334e-05,0.626868326491895,0.0715776370046582,0.816405553954506,0.718,0.718,0.0673155035150887,0.812168278192762,0.0279492258369891
1,0.2,13,20,0.0424516363368907,0.0282073946225985,8.78064743782334e-05,0.626868326491895,0.0649003244724116,0.810278610107042,0.392,0.392,0.0675785232446221,0.812391597812767,0.0279082367410938
1,0.2,11,20,0.0424516363368907,0.0282820709876513,8.78064743782334e-05,0.626868326491895,0.141060181736441,0.836899157815488,0.774,0.774,0.130556822571042,0.830503008898733,0.0296708155264206
1,0.2,11,20,0.0424516363368907,0.0242172410518012,8.78064743782334e-05,0.626868326491895,0.182503287480705,0.856727663103057,0.992,0.992,0.131109821158914,0.830820465246685,0.0295938901394087
1,0.2,16,20,0.0424516363368907,0.025869334631866,8.78064743782334e-05,0.626868326491895,0.0220161035672913,0.787809618213687,0.458,0.458,0.0225714778077661,0.788833384378618,0.0258170349849243
1,0.2,13,20,0.0424516363368907,0.0259223583494128,8.78064743782334e-05,0.626868326491895,0.0803541723423569,0.823701542753893,0.944,0.944,0.0672186627293439,0.812101795470537,0.0279630454179679
1,0.2,17,20,0.0424516363368907,0.0255618979183234,8.78064743782334e-05,0.626868326491895,0.0143867053005662,0.779192538565354,0.286,0.286,0.0152296600943528,0.781651978335672,0.0252410646937073
1,0.2,14,20,0.0424516363368907,0.025269857032199,8.78064743782334e-05,0.626868326491895,0.0571206037204466,0.815078588924275,0.968,0.968,0.0468990979909215,0.803370258738033,0.027267793553201
1,0.2,14,20,0.0424516363368907,0.0258315104177298,8.78064743782334e-05,0.626868326491895,0.0540709490785213,0.811890440781898,0.92,0.92,0.0469585369049425,0.803438626475253,0.0272647748466105
1,0.2,12,20,0.0424516363368907,0.0282465712754159,8.78064743782334e-05,0.626868326491895,0.0976405409150937,0.823763442639132,0.672,0.672,0.0941835616026335,0.820874315695817,0.0287968207086459
1,0.2,15,20,0.0424516363368907,0.0258109541693717,8.78064743782334e-05,0.626868326491895,0.0347232677389485,0.799296735587612,0.74,0.74,0.0328649154912024,0.796119987449549,0.0264780335949972
1,0.2,15,20,0.0424516363368907,0.0253553061095871,8.78064743782334e-05,0.626868326491895,0.0369786199196783,0.802657090640896,0.908,0.908,0.0324928226783174,0.795521168446191,0.0265780393804349
1,0.2,15,20,0.0424516363368907,0.0260635762069582,8.78064743782334e-05,0.626868326491895,0.0339694744052036,0.798128076175385,0.684,0.684,0.0326052782653421,0.79570189422112,0.026546335727945
1,0.2,16,20,0.0424516363368907,0.0242288798772715,8.78064743782334e-05,0.626868326491895,0.0277445343260552,0.799279344865703,0.982,0.982,0.0225744553904664,0.78883874528648,0.0258127268388006
1,0.2,14,20,0.0424516363368907,0.0274839290837614,8.78064743782334e-05,0.626868326491895,0.0456603112037545,0.802144806918495,0.4,0.4,0.04748307315695,0.804042806031557,0.0271610291509834
1,0.2,14,20,0.0424516363368907,0.0263588754761543,8.78064743782334e-05,0.626868326491895,0.0510811165317855,0.808598412563359,0.808,0.808,0.0472194880997184,0.803777055353413,0.0272061988291696
1,0.2,14,20,0.0424516363368907,0.0257689193640704,8.78064743782334e-05,0.626868326491895,0.054589289026132,0.812443911563652,0.898,0.898,0.0475335593546712,0.804101442005775,0.0271447236858323
