"comm","param","n_sp_pruned","n_sp_pool","mean_comp_strength_pool","mean_comp_strength","Omega_pool","omega_pool","Omega_obs","omega_obs","Omega_percentile","omega_percentile","Omega_expect_comm","omega_expect_comm","comp_strength_expect"
1,0.05,12,20,0.0499999996555039,0.0189759491789144,3.13952325866479e-08,0.421544265025341,0.164042009852158,0.860160688128558,0.998,0.998,0.0118115124037101,0.604940216985008,0.049359140346425
1,0.05,12,20,0.0499999996555039,0.0167789162960005,3.13952325866479e-08,0.421544265025341,0.214094860672173,0.87946221819852,1,1,0.0104967533114798,0.598897597196112,0.050109857705552
1,0.05,12,20,0.0499999996555039,0.037211742978504,3.13952325866479e-08,0.421544265025341,0.00863535982455024,0.673012870926833,0.682,0.682,0.0114097172924773,0.597992990512583,0.0499464933478335
1,0.05,13,20,0.0499999996555039,0.0253683787313018,3.13952325866479e-08,0.421544265025341,0.054296261849676,0.799235213187268,0.998,0.998,0.00381394785666639,0.568647847472408,0.0505831112087979
1,0.05,14,20,0.0499999996555039,0.0341536849310338,3.13952325866479e-08,0.421544265025341,0.00274197347432354,0.656152091960747,0.838,0.838,0.00157155573605241,0.550757154646029,0.049888726069614
1,0.05,14,20,0.0499999996555039,0.0310595552453627,3.13952325866479e-08,0.421544265025341,0.011296274719165,0.725978812502975,0.978,0.978,0.0013930026166012,0.540088877677732,0.0511438348794981
1,0.05,16,20,0.0499999996555039,0.0366801049311761,3.13952325866479e-08,0.421544265025341,0.000918419478815553,0.645936859819114,0.958,0.958,0.00012580734094577,0.501649061478175,0.0500163862051492
1,0.05,16,20,0.0499999996555039,0.0321003866933297,3.13952325866479e-08,0.421544265025341,0.00238975585066892,0.685720441119405,0.998,0.998,0.000137867755721651,0.501596026487965,0.0496795653695373
1,0.05,11,20,0.0499999996555039,0.0170559655023902,3.13952325866479e-08,0.421544265025341,0.264162967508697,0.886018730804153,0.998,0.998,0.0236458458775511,0.620743975197112,0.0515690535670377
1,0.05,12,20,0.0499999996555039,0.0221523887234277,3.13952325866479e-08,0.421544265025341,0.130499459021513,0.843918924681056,0.992,0.992,0.0121121246074313,0.604061983835569,0.0493490850891703
1,0.05,11,20,0.0499999996555039,0.0171043869972808,3.13952325866479e-08,0.421544265025341,0.266791036064417,0.886816466430639,0.994,0.994,0.026509961048952,0.632911686716206,0.0496302737613683
1,0.05,11,20,0.0499999996555039,0.0177713443772532,3.13952325866479e-08,0.421544265025341,0.249476452006801,0.881423256713906,0.998,0.998,0.0279776581486934,0.644154917450664,0.0477808676217406
1,0.05,12,20,0.0499999996555039,0.0171298365862325,3.13952325866479e-08,0.421544265025341,0.205958834137101,0.876627388883285,1,1,0.0100731056190159,0.59255489263344,0.0508071761719653
1,0.05,12,20,0.0499999996555039,0.0227587055015644,3.13952325866479e-08,0.421544265025341,0.0840165609708646,0.813511584506903,0.988,0.988,0.0094294872900333,0.598520772167921,0.0505636970927672
1,0.05,14,20,0.0499999996555039,0.0313856793000497,3.13952325866479e-08,0.421544265025341,0.0118674427343501,0.728541141320034,0.974,0.974,0.00170762346841858,0.550300099494747,0.0500845815395735
1,0.05,14,20,0.0499999996555039,0.0290140806931118,3.13952325866479e-08,0.421544265025341,0.0131933639981956,0.734073728861444,0.972,0.972,0.00178757375332173,0.551971957716358,0.050097332717135
1,0.05,15,20,0.0499999996555039,0.0361052193361914,3.13952325866479e-08,0.421544265025341,0.00385234830249743,0.690316683885859,0.97,0.97,0.000485269196075988,0.521918462728044,0.0501659980696104
1,0.05,14,20,0.0499999996555039,0.0251911384494944,3.13952325866479e-08,0.421544265025341,0.0258307668368684,0.77016049096051,0.998,0.998,0.00181101315053462,0.553214149755824,0.0496253780055786
1,0.05,15,20,0.0499999996555039,0.0303089116304534,3.13952325866479e-08,0.421544265025341,0.00917861160078588,0.731450822922589,0.998,0.998,0.000476619619737334,0.52386673669076,0.0497708896917207
1,0.05,13,20,0.0499999996555039,0.0310572991363267,3.13952325866479e-08,0.421544265025341,0.018994552625371,0.737202588516368,0.924,0.924,0.00508460162325818,0.578635041833248,0.0493908826253274
1,0.05,14,20,0.0499999996555039,0.0301201815409312,3.13952325866479e-08,0.421544265025341,0.00982107809718057,0.718758175284055,0.96,0.96,0.00169588178592846,0.551037329980089,0.049651533472649
1,0.05,11,20,0.0499999996555039,0.01793191684766,3.13952325866479e-08,0.421544265025341,0.259461174371913,0.884573353385905,0.996,0.996,0.0260878119615202,0.632571430771412,0.0496244044785159
1,0.05,13,20,0.0499999996555039,0.0197374208141302,3.13952325866479e-08,0.421544265025341,0.117538768403981,0.848155479103984,1,1,0.00446345978658389,0.579965335663983,0.0491542762514584
1,0.05,12,20,0.0499999996555039,0.0172586144125512,3.13952325866479e-08,0.421544265025341,0.200625091872356,0.874712710613807,1,1,0.00863830092377933,0.593415160353055,0.0509451445822641
1,0.05,14,20,0.0499999996555039,0.0255228869513672,3.13952325866479e-08,0.421544265025341,0.0243763906351631,0.766979098142249,0.998,0.998,0.00144986903638584,0.545364363476637,0.0497610485105383
1,0.05,11,20,0.0499999996555039,0.020654803017565,3.13952325866479e-08,0.421544265025341,0.140027441443934,0.836340280163959,0.984,0.984,0.0241596081463249,0.636144380647813,0.049489620652731
1,0.05,12,20,0.0499999996555039,0.0294693499048457,3.13952325866479e-08,0.421544265025341,0.0350886103527633,0.75642147032984,0.918,0.918,0.0106730115790043,0.599649915940077,0.0505332955784164
1,0.05,15,20,0.0499999996555039,0.0504879226085325,3.13952325866479e-08,0.421544265025341,3.67115512895549e-05,0.506197717369614,0.418,0.418,0.000463462737689571,0.530719182593459,0.0490391325552839
