"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"initial","1","2007",16,150,3.21081765437493e-39,0.553831224994522,0.00591717291032924,0.725700030392717,1,1,0.000757361476155011,0.62970885038021,0.0286111111111111,0.0465275220529802
"initial","1","2008",51,199,2.68272617863423e-56,0.525710455882972,3.97239868573619e-11,0.625258867121865,0.972,0.972,6.03189193494354e-12,0.585288929537232,0.0140825775531658,0.0163493582183916
"initial","1","2009",17,154,4.62914790707357e-40,0.555368413521872,0.000872780163577257,0.660774428084328,0.871,0.871,0.000509564744861273,0.63115792417511,0.0400400913484823,0.0433030741523201
"initial","1","2010",25,150,1.01815178456893e-38,0.558108645602093,1.27568965078402e-05,0.637132562158699,0.97,0.97,4.50032659731437e-06,0.605474991814894,0.030343253968254,0.0330704138491767
"initial","1","2011",22,173,5.5263046435799e-46,0.547514439214259,9.39386419252738e-05,0.65606590287957,0.842,0.842,5.47162227263519e-05,0.623541797522416,0.0278090023888343,0.033443254749408
"initial","1","2012",10,141,1.30293130218603e-35,0.565702497207575,0.0321837995878526,0.709191842572697,0.936,0.936,0.0157396811086761,0.651748826342705,0.0553439153439153,0.068695205078155
"initial","1","2013",9,145,1.04065771264839e-36,0.564733437521348,0.0127827545225843,0.616062733871061,0.059,0.059,0.0304082786435147,0.667378326465626,0.0947577276524645,0.0715188844532419
"initial","1","2014",28,192,6.9958626849712e-53,0.535005871549015,6.74559458766558e-07,0.602015766802085,0.34,0.34,3.26445722484287e-06,0.617618006271379,0.0272142084664395,0.0263084637849403
"initial","1","2016",15,155,1.92987349018545e-39,0.562638204299706,0.00545888958210154,0.706545748284615,0.974,0.974,0.00155552141232727,0.637636124701774,0.0376657733800591,0.0475195325273476
"initial","1","2017",27,186,8.27107482796116e-51,0.53794711206729,1.88206825732332e-06,0.613690581593277,0.433,0.433,6.17667375394631e-06,0.621846540104326,0.0292473462177669,0.0270757017024523
