"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"initial","1","2007",16,43,9.53297209889034e-10,0.61689977541596,0.00590292990115425,0.725590731652181,0.995,0.995,0.00160670672588423,0.662549361179415,0.0286111111111111,0.0406195196007696
"initial","1","2008",51,119,3.71716682047682e-29,0.57689160477224,7.1488937239961e-11,0.632504335433863,0.96,0.96,1.98886947737135e-11,0.61139290996441,0.0140825775531658,0.0156145121983329
"initial","1","2009",17,48,4.46865624905663e-12,0.580156754739448,0.000872951076756892,0.660782038966076,0.863,0.863,0.000542920322971006,0.631124339516284,0.0400400913484823,0.043142765819211
"initial","1","2010",25,44,2.35710611739675e-10,0.604213514409688,1.52442705600269e-05,0.641688514421158,0.86,0.86,9.28776602745833e-06,0.625521738924958,0.030343253968254,0.03227325350121
"initial","1","2011",22,73,3.40614287570507e-18,0.576389325962413,9.78333422774845e-05,0.657278466181011,0.792,0.792,7.01395750865217e-05,0.638441652801198,0.0278090023888343,0.0314295906467877
"initial","1","2012",10,18,0.000167980855160956,0.617010010870275,0.0321984566176487,0.709224133714401,0.943,0.943,0.0176339300670092,0.663441722679264,0.0553439153439153,0.0692911834770168
"initial","1","2013",9,20,2.86446909182848e-05,0.59272358292135,0.0127697433755318,0.615993027878475,0.14,0.14,0.0195916646944061,0.640927944236748,0.0947577276524645,0.0791421587428763
"initial","1","2014",28,55,4.29597978917397e-14,0.571432277281198,7.71085147766644e-07,0.604898108328302,0.653,0.653,9.19331255428173e-07,0.602348876641295,0.0272142084664395,0.028494770746707
"initial","1","2016",15,30,3.0844170848497e-07,0.606697823126602,0.00547507176721292,0.706685186502137,0.991,0.991,0.00134463456597055,0.636521107713144,0.0376657733800591,0.0479804719006496
"initial","1","2017",27,59,1.41295816804961e-15,0.560153786892254,1.65617173072003e-06,0.610791228227651,0.789,0.789,1.25740491812686e-06,0.595966169589213,0.0292473462177669,0.0294177543475511
"initial","3","2007",22,61,6.00237834038494e-14,0.607087376894256,0.000897343673729944,0.726939264972107,0.993,0.993,0.000201155758616195,0.67049617384547,0.0204184704184704,0.0275032211631042
"initial","3","2008",35,85,1.82676960086064e-20,0.585847410999736,2.16821055773577e-07,0.645064138766582,0.785,0.785,1.56794725187978e-07,0.628450939914103,0.0175597511731965,0.0201292292490282
"initial","3","2009",22,64,3.55239001077853e-16,0.573590414436468,0.000953406698552743,0.72894450016699,1,1,8.41906302752246e-05,0.638597366778977,0.0218597540026111,0.0307880847664963
"initial","3","2010",35,64,1.63371230320785e-14,0.608948925420452,1.19463120082603e-06,0.67729537517677,1,1,9.67987897421516e-08,0.623855654159197,0.0181842024184703,0.0217228041824531
"initial","3","2011",22,60,1.8390555198852e-15,0.568080542014969,0.00048004167338077,0.706559992508206,0.997,0.997,5.33526829767763e-05,0.62221095438358,0.0237168435220383,0.0322012289761784
"initial","3","2012",8,21,3.52616380010161e-05,0.613715066057915,0.358009466506279,0.879501964394041,0.999,0.999,0.0531171230924063,0.680466413798049,0.0229591836734694,0.0794099741021604
"initial","3","2013",15,25,2.53393788381709e-05,0.654865088800605,0.0405997432893502,0.807671737062557,1,1,0.00410398171476471,0.686141471492096,0.0174603174603175,0.0391029262536405
"initial","3","2014",14,43,5.44972683196497e-10,0.608929275691229,0.0965387103057988,0.846211022536272,1,1,0.00464851716802678,0.665054329080604,0.0173992673992674,0.047024799606007
"initial","3","2016",4,15,0.000867249941141325,0.62499462913572,0.340942536869091,0.764135360278327,0.854,0.854,0.242406171213208,0.693175093802147,0.126984126984127,0.175988449558554
"initial","3","2017",41,82,8.83449697741675e-22,0.553663788161835,4.93457158633021e-11,0.560551914686017,0.151,0.151,1.61183440575676e-09,0.588534075478691,0.0173132389290926,0.0195775937672936
"late","9","2007",18,36,2.73123343225205e-08,0.61645141828063,0.000730927343779891,0.669531153052538,0.969,0.969,0.000377315789568518,0.641645774899865,0.0364534702769997,0.0401953000225564
"late","9","2008",45,102,6.0752255991968e-26,0.565952553353217,6.29324080265879e-10,0.624497265567179,1,1,1.07196911995592e-10,0.595930574802786,0.0180629139193907,0.0185708848871064
"late","9","2009",24,59,7.30476935896438e-15,0.575970327544844,3.12955640201843e-05,0.649100259303827,0.991,0.991,6.66264913086636e-06,0.601440097408382,0.0319730245948445,0.0346768240616429
"late","9","2010",29,65,1.13155971237745e-15,0.588920370399704,3.92623460714619e-06,0.651006594435204,0.926,0.926,1.45718146993893e-06,0.619366099571705,0.0251569210421717,0.0265443876956367
"late","9","2011",18,66,4.84856509899327e-16,0.586089359543237,0.00050146894727837,0.655662317955085,0.792,0.792,0.000386492295600066,0.636275045738228,0.0400366954318876,0.0386875638719924
