"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"initial","1","2007",16,21,0.000294981392255318,0.679039412217201,0.00588592066506459,0.725459880899556,0.817,0.817,0.00380639259726228,0.700041762846607,0.0286111111111111,0.0323406944444444
"initial","1","2008",51,72,8.48915622100357e-17,0.598122011353278,5.46824246255185e-11,0.629189300418314,0.812,0.812,3.64895581773374e-11,0.619475767287381,0.0140825775531658,0.0144677439022829
"initial","1","2009",17,29,9.2833011082626e-07,0.619426440129741,0.000869494827374922,0.660627856506984,0.761,0.761,0.000704877690556001,0.644249721193265,0.0400400913484823,0.0427098608285479
"initial","1","2010",25,39,1.00176797335713e-08,0.623578977015864,1.32527567574128e-05,0.638105149045857,0.601,0.601,1.36219373233052e-05,0.635814340555606,0.030343253968254,0.031488323583931
"initial","1","2011",22,35,6.95843041069677e-08,0.62445381402403,9.27478892544102e-05,0.655685587978964,0.458,0.458,0.000124755804139536,0.658679649947656,0.0278090023888343,0.0286448840419569
"initial","1","2012",10,14,0.00142370401921667,0.626142000552767,0.0321937231121167,0.709213706697635,0.99,0.99,0.0170849340405348,0.662874918356507,0.0553439153439153,0.0650917102033769
"initial","1","2013",9,14,0.000724593744715262,0.596651918575832,0.0127645484684057,0.615965179017229,0.355,0.355,0.0140091852234266,0.621348535635012,0.0947577276524645,0.0853847559835031
"initial","1","2014",28,32,7.1995266470028e-08,0.598123337836,7.21788589215022e-07,0.603472522468632,0.569,0.569,7.64359151455451e-07,0.603835151544952,0.0272142084664395,0.0277498678431997
"initial","1","2016",15,17,0.0017623600050609,0.688661122894606,0.00548942009784609,0.706808501451022,0.832,0.832,0.00460289628174326,0.695741877904092,0.0376657733800591,0.0403986861306294
"initial","1","2017",27,37,1.66728086128313e-09,0.579104571957273,1.67744463158054e-06,0.611080015909127,0.892,0.892,9.23821981770024e-07,0.593457981473544,0.0292473462177669,0.0288661054520427
"initial","3","2007",22,25,8.3933910617858e-05,0.687001204225284,0.000884612031862068,0.7264672461632,0.954,0.954,0.000421965530387076,0.699106161003452,0.0204184704184704,0.0239133374561946
"initial","3","2008",35,50,1.76699236274474e-11,0.609459278852409,1.62357064300211e-07,0.639754666744984,0.538,0.538,2.2776768481539e-07,0.640163667930736,0.0175597511731965,0.018806906692186
