"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"initial","1","2007",16,21,3.23773972793271e-07,0.490867073796139,0.000634145052633977,0.631156105951371,0.861,0.861,0.000297220954000696,0.577364275086361,0.0457875,0.054736875
"initial","1","2008",51,72,4.81975714414773e-107,0.0333714709074703,7.19045907997981e-37,0.195573025050151,0.428,0.428,7.3321432764404e-26,0.203845194794606,0.0568058823529412,0.0503445070588236
"initial","1","2009",17,29,1.39838333691297e-28,0.109522753323027,3.60808363523329e-07,0.417846020478478,0.875,0.875,2.61773180681178e-07,0.355050661464596,0.139566176470588,0.16962799632353
"initial","1","2010",25,39,0,0,2.05735796900335e-19,0.178867894375238,0.831663326653307,0.831663326653307,1.92162015586873e-15,0.130712079545799,0.104895,0.132606072144289
"initial","1","2011",22,35,1.26465891733896e-20,0.270075354359063,5.67467088729082e-07,0.520101627389937,0.897,0.897,2.87893753493306e-07,0.462497851499865,0.0648701298701299,0.0756385714285715
"initial","1","2012",10,14,3.73699215951426e-06,0.409565166992542,0.00563183857898928,0.595751329006222,0.961,0.961,0.00176355922370806,0.513481568574711,0.1221,0.1646685
"initial","1","2013",9,14,1.88120365096547e-08,0.280655777324182,8.18468905593253e-05,0.351470704290035,0.04,0.04,0.00090494455818825,0.430363969993225,0.444,0.303016125
"initial","1","2014",28,32,5.90812080454559e-20,0.250673135129929,2.57874899314722e-17,0.25559380538512,0.298,0.298,1.40443851093697e-13,0.273980514639867,0.116285714285714,0.118624642857143
"initial","1","2016",15,17,1.09740518320487e-07,0.389591814830055,1.82590068608813e-05,0.483168348613724,0.942,0.942,6.68590675413801e-06,0.434033860467732,0.128442857142857,0.144365014285714
"initial","1","2017",27,37,9.33169396308112e-37,0.106222164860413,1.73922722025673e-16,0.26080114483221,0.584,0.584,1.03470286750589e-12,0.253238382184324,0.172192307692308,0.148838192307692
"initial","3","2007",22,25,1.17203247615585e-07,0.528150366909467,1.84404666757762e-05,0.609267221806006,0.947,0.947,5.51613050939515e-06,0.562937983957375,0.032435064935065,0.0467216298701299
"initial","3","2008",35,50,7.72314005217997e-32,0.238646944462147,3.68941280335615e-13,0.441336866472375,0.867735470941884,0.867735470941884,3.07105112668349e-12,0.382558091816609,0.0402957983193278,0.0487689858709015
"initial","3","2009",22,36,1.06363104324085e-23,0.230067517145185,4.7433355535453e-06,0.572801057778361,0.999,0.999,2.59093330073167e-08,0.354237647811693,0.0735194805194806,0.126561623376623
"initial","3","2010",35,50,4.85522658002627e-102,0.00941291615041105,1.10431650592628e-21,0.251901784832026,0.957,0.957,2.16759232913673e-19,0.152770181667734,0.0755546218487395,0.100667299159664
"initial","3","2011",22,32,7.83732302750499e-20,0.252896455278859,4.8173502684824e-06,0.57320433311466,0.991,0.991,2.89438170191642e-07,0.444821620183092,0.0735194805194806,0.103435422077922
